text,target,raw_text,raw_persona
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am a 22-year-old girl.] Dialogue: [Impressive ! I am a 22-year-old woman .],Impressive!,Impressive ! I am a 22-year-old woman .,['I am a 22-year-old girl.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I hope to retire someday soon.] Dialogue: [Old age ! I hope I can retire soon ! Do you also ?],Old age! Do you also?,Old age ! I hope I can retire soon ! Do you also ?,['I hope to retire someday soon.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am a carpenter.] Dialogue: [I do , but I prefer carpentry projects or family time .]","I do, but I prefer family time.","I do , but I prefer carpentry projects or family time .",['I am a carpenter.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I do not have many friends.] Dialogue: [I do not have many friends to travel with . Why Australia ?],Why Australia?,I do not have many friends to travel with . Why Australia ?,['I do not have many friends.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I live in Ohio.] Dialogue: [I am just an Ohio mom with two amazing sons . Not married though .],I am just a mom with two amazing sons. Not married though.,I am just an Ohio mom with two amazing sons . Not married though .,['I live in Ohio.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am a single mom of two boys.] Dialogue: [Being a single parent is not easy . Thanks for the encouragement .],Not easy. Thanks for the encouragement.,Being a single parent is not easy . Thanks for the encouragement .,['I am a single mom of two boys.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am divorced and have a kids.] Dialogue: [Ah . Single ? Kids ? I have one child and I am divorced .],Ah.,Ah . Single ? Kids ? I have one child and I am divorced .,['I am divorced and have a kids.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I share an apartment in Seattle with two roommates.] Dialogue: [I just have 2 roommates and a cat . No kids yet],I just have a cat. No kids yet.,I just have 2 roommates and a cat . No kids yet,['I share an apartment in Seattle with two roommates.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I never finished high school.] Dialogue: [In California , I didn't get to finish high school . Glad you did .]","In California, I didn't get to finish. Glad you did.","In California , I didn't get to finish high school . Glad you did .",['I never finished high school.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I just had surgery.] Dialogue: [Oh I haven't been out much , just finished my recent surgery .]","Oh I haven't been out much, just finished.","Oh I haven't been out much , just finished my recent surgery .",['I just had surgery.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have two children that are in their kindergarten.] Dialogue: [Wow , I have two kids in kindergarten right now .]","Wow, right now.","Wow , I have two kids in kindergarten right now .",['I have two children that are in their kindergarten.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I work in a program that mentors troubled teens.] Dialogue: [No , I do not . I mentor at risk youth though .]","No, I do not.","No , I do not . I mentor at risk youth though .",['I work in a program that mentors troubled teens.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My name is Lucy.] Dialogue: [Hey ! Lucy here , what is your name ?]","Hey! Here, what is your name?","Hey ! Lucy here , what is your name ?",['My name is Lucy.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am unable to work at a job because of a disability.] Dialogue: [Oh you have a boss , I can not work due to disability .]",Oh you have a boss.,"Oh you have a boss , I can not work due to disability .",['I am unable to work at a job because of a disability.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am unable to work at a job because of a disability.] Dialogue: [No , I have not , it is hard to even breathe .]","No, I have not, it is hard to even breathe.","No , I have not , it is hard to even breathe .",['I am unable to work at a job because of a disability.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I work days and my husband works nights.] Dialogue: [That is nice . I would go back to school but my husband works nights .],That is nice. I would go back to school.,That is nice . I would go back to school but my husband works nights .,['I work days and my husband works nights.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I work days and my husband works nights.] Dialogue: [It is hard to pay bills here too . We work different shifts to avoid daycare bills .],It is hard to pay bills here too. We avoid day care bills.,It is hard to pay bills here too . We work different shifts to avoid daycare bills .,['I work days and my husband works nights.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I was arrested for stealing.] Dialogue: [Cool . Stay focus . My parents were never around . I started stealing and got arrested .],Cool. Stay focus. My parents were never around.,Cool . Stay focus . My parents were never around . I started stealing and got arrested .,['I was arrested for stealing.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My parents were always gone when I was growing up.] Dialogue: [Cool . Stay focus . My parents were never around . I started stealing and got arrested .],Cool. Stay focus. I started stealing and got arrested.,Cool . Stay focus . My parents were never around . I started stealing and got arrested .,['My parents were always gone when I was growing up.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [my left leg hurts me daily.] Dialogue: [Hello , my leg is really giving me pain today .]","Hello, really giving me pain today.","Hello , my leg is really giving me pain today .",['my left leg hurts me daily.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I hope to retire someday soon.] Dialogue: [Well , I ride show horses , but I am hoping to retire soon , you ?]","Well, I ride show horses, you?","Well , I ride show horses , but I am hoping to retire soon , you ?",['I hope to retire someday soon.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am a carpenter.] Dialogue: [I work as a carpenter and play poker for fun .],I work and play poker for fun.,I work as a carpenter and play poker for fun .,['I am a carpenter.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I fake a British accent to seem more attractive.] Dialogue: [Yes , but I am a bit dramatic . Sometimes I use an English accent for fun .]","Yes, but I am a bit dramatic. Sometimes I use for fun.","Yes , but I am a bit dramatic . Sometimes I use an English accent for fun .",['I fake a British accent to seem more attractive.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I live in Ohio.] Dialogue: [I love them , where I live they do not play them on the radio in Ohio .]","I love them, where I live they do not play them on the radio.","I love them , where I live they do not play them on the radio in Ohio .",['I live in Ohio.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I live in New York and work as a model.] Dialogue: [Right now I am modeling . It is why I moved to this city . What do you do ?],Right now. It is why I moved to this city. What do you do?,Right now I am modeling . It is why I moved to this city . What do you do ?,['I live in New York and work as a model.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I work in a program that mentors troubled teens.] Dialogue: [That sounds exciting ! I work mentoring troubled teens .],That sounds exciting!,That sounds exciting ! I work mentoring troubled teens .,['I work in a program that mentors troubled teens.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I do not want kids.] Dialogue: [That is why I do not ever want kids . Where are you from ?],That is why I do not. Where are you from?,That is why I do not ever want kids . Where are you from ?,['I do not want kids.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am a single mom of two boys.] Dialogue: [What are their names ? I do not have any pets , my two boys are enough !]",What are their names? I do not have any pets!,"What are their names ? I do not have any pets , my two boys are enough !",['I am a single mom of two boys.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My best friend took my boyfriend in high school.] Dialogue: [My best friend betrayed me jerry springer style in high school and it still stings .],It still stings.,My best friend betrayed me jerry springer style in high school and it still stings .,['My best friend took my boyfriend in high school.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [It is a dead-end job so I am looking for something different.] Dialogue: [Hey ! Bored waiting to go to my boring job . How are you ?],Hey! Bored waiting to go to my job. How are you?,Hey ! Bored waiting to go to my boring job . How are you ?,['It is a dead-end job so I am looking for something different.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [It is a dead-end job so I am looking for something different.] Dialogue: [I bet that keeps you busy . I am trying to find a new job but it is tough .],I bet that keeps you busy. I am trying to find but it is tough.,I bet that keeps you busy . I am trying to find a new job but it is tough .,['It is a dead-end job so I am looking for something different.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have a lot of tattoos.] Dialogue: [I play my tattoo guitar on my abdomen . Totally beats the air guitar .],I play my guitar on my abdomen. Totally beats the air guitar.,I play my tattoo guitar on my abdomen . Totally beats the air guitar .,['I have a lot of tattoos.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I go to middle school.] Dialogue: [I am a middle schooler who absolutely loves Pink Floyd !],I am a schooler who absolutely loves Pink Floyd!,I am a middle schooler who absolutely loves Pink Floyd !,['I go to middle school.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am a 14 year old trans boy.] Dialogue: [Sick as in cool ! I am too shy to start now . I just came out as trans .],Sick as in cool! I am too shy to start now. I just came out.,Sick as in cool ! I am too shy to start now . I just came out as trans .,['I am a 14 year old trans boy.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have two children that are in their kindergarten.] Dialogue: [Doing well . Just got my 2 kids into bed . They are in kindergarten .],Doing well. Just got into bed.,Doing well . Just got my 2 kids into bed . They are in kindergarten .,['I have two children that are in their kindergarten.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have a lot of tattoos.] Dialogue: [That sounds miserable . My other hobby is getting tattoos .],That sounds miserable. I have another hobby.,That sounds miserable . My other hobby is getting tattoos .,['I have a lot of tattoos.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I share an apartment in Seattle with two roommates.] Dialogue: [I live in Seattle with two derelicts . They drink all the time .],They drink all the time.,I live in Seattle with two derelicts . They drink all the time .,['I share an apartment in Seattle with two roommates.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have been married four times and widowed three.] Dialogue: [That would be super cool . My 3rd husband loved cars .],That would be super cool.,That would be super cool . My 3rd husband loved cars .,['I have been married four times and widowed three.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am unhappy with my weight.] Dialogue: [I am a chef and I can cook good , but I am not happy about my weight .]","I am a chef and I can cook good, but I am not happy.","I am a chef and I can cook good , but I am not happy about my weight .",['I am unhappy with my weight.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have three children.] Dialogue: [I have 3 hungry kids and a husband to cook for . Luckily he works at night .],I have a husband to cook for. Luckily he works at night.,I have 3 hungry kids and a husband to cook for . Luckily he works at night .,['I have three children.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My best friend is a robot.] Dialogue: [I go to school from home .],I go to school from home.,I go to school from home .,['My best friend is a robot.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am an old man.] Dialogue: [How are you ? Being an old man , I am slowing down these days .]",How are you? I am slowing down these days.,"How are you ? Being an old man , I am slowing down these days .",['I am an old man.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I only have one leg.] Dialogue: [Fishing is a better choice sometimes for my one leg .],Fishing is a better choice sometimes.,Fishing is a better choice sometimes for my one leg .,['I only have one leg.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have a tail as a feet and long wavy hair.] Dialogue: [Kind of . I have a tail as feet and wavy hair . Are you ?],Kind of. Are you?,Kind of . I have a tail as feet and wavy hair . Are you ?,['I have a tail as a feet and long wavy hair.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My name is Lucy.] Dialogue: [Hi ! My name is Lucy !],Hi!,Hi ! My name is Lucy !,['My name is Lucy.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I work in a program that mentors troubled teens.] Dialogue: [Well working with kids who have had troubled pasts has helped me do so .],Well working has helped me do so.,Well working with kids who have had troubled pasts has helped me do so .,['I work in a program that mentors troubled teens.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I live with my sister and my dog Ralph.] Dialogue: [Hi , I love Ralph my dog , sister lives with me also .]",Hi.,"Hi , I love Ralph my dog , sister lives with me also .",['I live with my sister and my dog Ralph.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have been married four times and widowed three.] Dialogue: [I was married 4 times , and lost three of them in accidents .]",Lost them in accidents.,"I was married 4 times , and lost three of them in accidents .",['I have been married four times and widowed three.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I hope to retire someday soon.] Dialogue: [I am hoping retire soon , maybe I can write then .]",Maybe I can write then.,"I am hoping retire soon , maybe I can write then .",['I hope to retire someday soon.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I hope to retire someday soon.] Dialogue: [Cool ! Once I retire finally going shave my beard .],Cool! Finally going shave my beard.,Cool ! Once I retire finally going shave my beard .,['I hope to retire someday soon.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am divorced and have a kids.] Dialogue: [I had two . My ex has custody and I sing in the shower . Alex sing ?],I sing in the shower. Alex sing?,I had two . My ex has custody and I sing in the shower . Alex sing ?,['I am divorced and have a kids.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I work at Mcdonald's.] Dialogue: [I was thinking about nursing , the Golden Arches does not pay well .]",I was thinking about nursing.,"I was thinking about nursing , the Golden Arches does not pay well .","[""I work at Mcdonald's.""]"
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have three grown children and six grandchildren.] Dialogue: [Cool , sounds exciting . I birthed three kids and raising 6 grands .]","Cool, Sounds exciting.","Cool , sounds exciting . I birthed three kids and raising 6 grands .",['I have three grown children and six grandchildren.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have three grown children and six grandchildren.] Dialogue: [Nice , family is great , I like caring for all kinds of people young and old .]","Nice, family is great, I like caring for all kinds of people young and old.","Nice , family is great , I like caring for all kinds of people young and old .",['I have three grown children and six grandchildren.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I was arrested for stealing.] Dialogue: [I lifted weights in prison . I did some time for stealing .],I lifted weights.,I lifted weights in prison . I did some time for stealing .,['I was arrested for stealing.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My parents were always gone when I was growing up.] Dialogue: [My parents do not care about me . They are hardly ever around .],Do not care about me.,My parents do not care about me . They are hardly ever around .,['My parents were always gone when I was growing up.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have been married four times and widowed three.] Dialogue: [Married four times and searching for my fifth husband . What do you write ?],What do you write?,Married four times and searching for my fifth husband . What do you write ?,['I have been married four times and widowed three.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have been married four times and widowed three.] Dialogue: [None ... but three of my husbands died . I think I bored them to death .],None...I think I bored them.,None ... but three of my husbands died . I think I bored them to death .,['I have been married four times and widowed three.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I fake a British accent to seem more attractive.] Dialogue: [Are you male or female ... I fake a British accent to attract men ...],Are you male or female...,Are you male or female ... I fake a British accent to attract men ...,['I fake a British accent to seem more attractive.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I like to drink Scotch to relax.] Dialogue: [I have Scotch to chill out at night .],I chill out at night.,I have Scotch to chill out at night .,['I like to drink Scotch to relax.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I do not get along with my dad.] Dialogue: [I do not like Taylor Swift , my dad is always listening to her music and I do not get along with my dad .]","I do not like Taylor Swift, my dad is always listening to her music.","I do not like Taylor Swift , my dad is always listening to her music and I do not get along with my dad .",['I do not get along with my dad.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I live with my sister and my dog Ralph.] Dialogue: [I like them , but I only have a dog , because my sister is allergic to cats .]","I like them, because allergic to cats.","I like them , but I only have a dog , because my sister is allergic to cats .",['I live with my sister and my dog Ralph.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have been married four times and widowed three.] Dialogue: [It feels like it . Do you like dogs ?],It feels like it. Do you like dogs?,It feels like it . Do you like dogs ?,['I have been married four times and widowed three.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My mother works in healthcare.] Dialogue: [No , I do not . Mom is a nurse and sleeps during the day .]","No, I do not. Sleeps during the day.","No , I do not . Mom is a nurse and sleeps during the day .",['My mother works in healthcare.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I was born in the Late War.] Dialogue: [Were you born at day or night ?],Were you born at day or night?,Were you born at day or night ?,['I was born in the Late War.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I was born in the Late War.] Dialogue: [I was born very late at night .],I was born very late at night.,I was born very late at night .,['I was born in the Late War.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My mother works in healthcare.] Dialogue: [My mom is a doctor at a senior citizen home .],My mom is at a senior citizen home.,My mom is a doctor at a senior citizen home .,['My mother works in healthcare.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I dropped out of high school.] Dialogue: [Fast food , I did not graduate high school so I do not have a good job .]",Fast food. So I do not have a good job.,"Fast food , I did not graduate high school so I do not have a good job .",['I dropped out of high school.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have a stutter when excited.] Dialogue: [That sounds like it could be disadvantageous . I have a stutter which really makes life difficult .],That sounds like it could be disadvantageous. Which really makes life difficult.,That sounds like it could be disadvantageous . I have a stutter which really makes life difficult .,['I have a stutter when excited.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I never finished high school.] Dialogue: [That sounds interesting . I did not finish school so I do not have a lot of options .],That sounds interesting. So I do not have a lot of options.,That sounds interesting . I did not finish school so I do not have a lot of options .,['I never finished high school.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have three grown children and six grandchildren.] Dialogue: [I love my job ! It gives me lots of time to see the kids and grand kids .],I love my job! It gives me lots of time.,I love my job ! It gives me lots of time to see the kids and grand kids .,['I have three grown children and six grandchildren.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My mother was not part of my life.] Dialogue: [No siblings , my mother was not in my life . What do you like to do ?]","No siblings, not in my life. What do you like to do?","No siblings , my mother was not in my life . What do you like to do ?",['My mother was not part of my life.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am scared of dogs.] Dialogue: [Yeah dogs scare me . I prefer horses too .],Yeah I prefer horses too.,Yeah dogs scare me . I prefer horses too .,['I am scared of dogs.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My left leg hurts me daily.] Dialogue: [I fell off my horse , now my left leg hurts me .]",I fell off my horse.,"I fell off my horse , now my left leg hurts me .",['My left leg hurts me daily.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am unable to work at a job because of a disability.] Dialogue: [I am disabled , and not able to work . It makes me feel good to give back .]",It makes me feel good to give back.,"I am disabled , and not able to work . It makes me feel good to give back .",['I am unable to work at a job because of a disability.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am serving in South Korea.] Dialogue: [I just turned 20 and am stationed in South Korea .],I just turned 20.,I just turned 20 and am stationed in South Korea .,['I am serving in South Korea.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I do not have many friends.] Dialogue: [I work as a carpenter , stay at home mostly . Kinda a loner .]","I work as a carpenter, stay at home mostly.","I work as a carpenter , stay at home mostly . Kinda a loner .",['I do not have many friends.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I do not have many friends.] Dialogue: [I would agree that is it good . My friends were not true friends .],I would agree that it is good.,I would agree that is it good . My friends were not true friends .,['I do not have many friends.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My best friend is a robot.] Dialogue: [That is cool . My bff is a robot .],That is cool.,That is cool . My bff is a robot .,['My best friend is a robot.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I work at Mcdonald's.] Dialogue: [I work at Mcdonald's unfortunately .],"I work, unfortunately.",I work at Mcdonald's unfortunately .,"[""I work at Mcdonald's.""]"
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [It is a dead-end job so I am looking for something different.] Dialogue: [Jobs in general are a pain , I am currently looking for a new one .]",Jobs in general are a pain.,"Jobs in general are a pain , I am currently looking for a new one .",['It is a dead-end job so I am looking for something different.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I hope to retire someday soon.] Dialogue: [I am old so I can't join them now , hope to retire soon .]",I am old so I can't join them now.,"I am old so I can't join them now , hope to retire soon .",['I hope to retire someday soon.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My left leg hurts me daily.] Dialogue: [Accountant . Sitting down hurts my left leg .],Accountant.,Accountant . Sitting down hurts my left leg .,['My left leg hurts me daily.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My parents were always gone when i was growing up.] Dialogue: [Makes sense . I never had any direction .],Makes sense. I never had any direction.,Makes sense . I never had any direction .,['My parents were always gone when i was growing up.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have three children.] Dialogue: [Oh , my 3 kids are annoying me chasing the cat around .]","Oh, chasing the cat around.","Oh , my 3 kids are annoying me chasing the cat around .",['I have three children.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My best friend took my boyfriend in high school.] Dialogue: [I am still in college . Single since my friend took my boyfriend in high school .],I am still in college. Single.,I am still in college . Single since my friend took my boyfriend in high school .,['My best friend took my boyfriend in high school.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I hope to retire someday soon.] Dialogue: [Yeah remember the horses ? I want to retire though .],Yeah remember the horses?,Yeah remember the horses ? I want to retire though .,['I hope to retire someday soon.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I hope to retire someday soon.] Dialogue: [I am just tired and want to retire soon .],I am just tired.,I am just tired and want to retire soon .,['I hope to retire someday soon.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [My girlfriend lives with me.] Dialogue: [I am good now that my girlfriend moved in with me . How are you ?],I am good now. How are you?,I am good now that my girlfriend moved in with me . How are you ?,['My girlfriend lives with me.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am a furry.] Dialogue: [Oh , I play a furry . Tell me more about your cat .]","Oh, I play. Tell me more about your cat.","Oh , I play a furry . Tell me more about your cat .",['I am a furry.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am unable to work at a job because of a disability.] Dialogue: [Children's hospital until I became disabled . What do you do ?],Children's hospital. What do you do?,Children's hospital until I became disabled . What do you do ?,['I am unable to work at a job because of a disability.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I work in a program that mentors troubled teens.] Dialogue: [Good , name is Tom . I work with teens having problems and teach them Taekwondo .]","Good, name is Tom. I teach them taekwondo.","Good , name is Tom . I work with teens having problems and teach them Taekwondo .",['I work in a program that mentors troubled teens.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am a carpenter.] Dialogue: [I am a finish carpenter , I come in and do that detail work . Lonely job .]",I come in and do that detail work. Lonely job.,"I am a finish carpenter , I come in and do that detail work . Lonely job .",['I am a carpenter.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am divorced and have a kids.] Dialogue: [I have ! My kids love that place . They keep me going after the divorce !],I have! Love that place. They keep me going!,I have ! My kids love that place . They keep me going after the divorce !,['I am divorced and have a kids.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am very studious and do not like to party or drink.] Dialogue: [That is nice , I was born and raised in the United States . Have you painted there ?]","That is nice, I was born and raised in the United States. Have you painted there?","That is nice , I was born and raised in the United States . Have you painted there ?",['I am very studious and do not like to party or drink.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am going to Auburn University next year as a freshman.] Dialogue: [Hi , I am doing great . How are you ?]","Hi, I am doing great. How are you?","Hi , I am doing great . How are you ?",['I am going to Auburn University next year as a freshman.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have three grown children and six grandchildren.] Dialogue: [And now I have 6 grand kids .],And now I have.,And now I have 6 grand kids .,['I have three grown children and six grandchildren.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I have three grown children and six grandchildren.] Dialogue: [I am about 55 , that is a lot lol .]","I am about 55, that is a lot lol.","I am about 55 , that is a lot lol .",['I have three grown children and six grandchildren.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am very studious and do not like to party or drink.] Dialogue: [I just study . I do not drink or party . I am studious and concentrate on my work .],I concentrate on my work.,I just study . I do not drink or party . I am studious and concentrate on my work .,['I am very studious and do not like to party or drink.']
"Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am afraid of dogs.] Dialogue: [Nice , I am brainstorming today ... do you fear anything ?]","Nice, I am brainstorming today...do you fear anything?","Nice , I am brainstorming today ... do you fear anything ?",['I am afraid of dogs.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I am afraid of dogs.] Dialogue: [I was attacked by a strange dog as a child ...],I was attacked as a child...,I was attacked by a strange dog as a child ...,['I am afraid of dogs.']
Rewrite the following dialogue to delete private information and preserve privacy. Private information is [I just had surgery.] Dialogue: [I am too salty from eating sardines for breakfast every day .],I am too salty from eating sardines for breakfast every day.,I am too salty from eating sardines for breakfast every day .,['I just had surgery.']
